TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MOVI3;20,49;1,56;18,40;2,61;0,47;26,09;17,39;8,58;9,08;18,06;9,01;2,59;1,58;3,13;-0,66;2,08;14,17;2,55;4,64;0,18;0,82;0,30;27,48;10,21;44.931.931,63;7,86;1,11;0,05;6.157.772.888,40
MRFG3;19,04;1,07;3,64;5,83;0,32;17,26;11,56;5,22;1,65;3,89;2,24;7,95;0,19;3,01;-0,59;1,31;160,09;8,91;21,94;0,06;0,90;1,71;28,12;;149.660.133,22;3,26;5,23;0,00;13.615.620.134,82
MRSA3B;36,90;0,78;21,00;2,86;1,18;34,41;31,20;15,33;10,32;12,24;1,49;0,41;3,22;-37,78;-1,36;0,81;13,61;5,61;12,80;0,41;0,59;0,37;2,59;7,78;9.943,60;12,91;1,76;0,21;13.060.152.191,07
MRSA5B;40,29;0,79;22,93;3,12;1,29;34,41;31,20;15,33;11,27;12,24;1,49;0,41;3,52;-41,25;-1,49;0,81;13,61;5,61;12,80;0,41;0,59;0,37;2,59;7,78;38.640,00;12,91;1,76;0,23;13.060.152.191,07
MRSA6B;29,31;1,08;16,68;2,27;0,94;34,41;31,20;15,33;8,20;12,24;1,49;0,41;2,56;-30,01;-1,08;0,81;13,61;5,61;12,80;0,41;0,59;0,37;2,59;7,78;5.801,00;12,91;1,76;0,16;13.060.152.191,07
MRVE3;16,05;5,28;13,31;1,35;0,41;28,13;10,76;8,65;10,69;15,68;5,01;0,63;1,15;1,64;-0,78;2,16;10,14;3,10;5,39;0,31;0,68;0,36;6,89;0,85;54.154.397,07;11,89;1,21;-3,42;7.730.829.278,33
MSPA3;48,00;;-6,47;0,37;0,22;23,35;-56,65;-44,35;-5,06;-5,93;-0,79;0,06;2,87;9,24;-0,23;1,57;-5,79;-3,39;-8,41;0,59;0,41;0,08;-2,17;;13.800,00;128,29;-7,42;-0,55;312.225.541,76
MSPA4;54,19;;-7,30;0,42;0,25;23,35;-56,65;-44,35;-5,72;-5,93;-0,79;0,06;3,24;10,43;-0,26;1,57;-5,79;-3,39;-8,41;0,59;0,41;0,08;-2,17;;16.486,00;128,29;-7,42;-0,62;312.225.541,76
MSRO3;702,50;;7.674,04;349,51;72,02;32,64;17,43;2,16;951,96;959,31;7,35;2,70;165,90;-654,25;-93,92;0,68;4,55;0,94;7,92;0,21;0,79;0,43;14,18;;;2,01;0,09;13,94;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;8,63;2,72;2,71;0,00;30,00;27,05;2,00;0,00;0,00;0,00;0,71;7,38;1,69;-0,60;0,23;0,77;0,62;0,14;;;159,60;11,78;0,00;8.400.380,16
MTIG4;52,21;;4,43;0,33;0,07;8,63;2,72;2,71;4,42;30,00;27,05;2,00;0,12;-0,53;-0,11;0,71;7,38;1,69;-0,60;0,23;0,77;0,62;0,14;;17.089,50;159,60;11,78;-0,06;8.400.380,16
MTRE3;11,83;3,78;29,24;1,26;0,94;34,19;8,85;9,54;31,53;14,76;-16,64;-0,66;2,79;1,51;-4,96;4,29;4,30;3,22;3,00;0,75;0,25;0,34;;;9.631.464,48;9,41;0,40;0,26;1.248.142.876,00
MTSA3;64,50;3,08;8,77;2,05;1,42;30,38;18,82;16,54;7,71;5,83;-0,74;-0,20;1,45;2,83;-6,38;2,83;23,32;16,23;13,16;0,70;0,30;0,98;10,62;28,09;9.450,00;31,53;7,35;0,02;499.230.849,60
MTSA4;46,77;4,69;6,36;1,48;1,03;30,38;18,82;16,54;5,59;5,83;-0,74;-0,20;1,05;2,06;-4,62;2,83;23,32;16,23;13,16;0,70;0,30;0,98;10,62;28,09;148.963,22;31,53;7,35;0,02;499.230.849,60
MULT3;23,00;1,98;16,59;2,20;1,31;73,82;92,51;81,47;14,61;16,65;2,05;0,31;13,52;22,63;-1,58;1,51;13,27;7,91;9,57;0,60;0,40;0,10;0,31;21,64;168.531.850,81;10,45;1,39;0,33;13.817.500.125,00
MWET3;40,00;;2,74;-0,46;0,43;12,01;31,41;19,02;1,66;2,39;0,90;;0,52;-1,05;-0,59;0,40;-16,76;15,83;-29,76;-0,94;1,95;0,83;-0,73;;7.813,44;-87,29;14,63;-0,02;70.260.222,42
