TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
MORC11;0,00;0,00;;;3,78;;;18.475.661,91;54,00;Ativa;
MORE11;88,99;10,01;0,91;723.000,00;0,03;;;227.393.363,31;5.881,00;Ativa;
MTOF11;0,00;0,00;;;1,61;;;164.963.990,19;3,00;Ativa;
MVFI11;0,00;0,00;;;0,54;;;136.950.181,55;1,00;Ativa;
NAVT11;79,01;1,52;0,82;410.918,70;3,05;;;101.218.902,51;2.247,00;Ativa;
NCHB11;92,90;11,05;0,99;436.755,52;36,96;-35,33;;135.186.503,35;6.516,00;Ativa;
ONEF11;137,56;5,63;0,86;121.428,81;1,04;-2,84;4,08;146.254.528,05;4.257,00;Passiva;
ORPD11;132,50;0,00;0,90;3.019,50;0,00;;4,40;42.861.168,07;16,00;Ativa;
OUFF11;80,18;9,10;0,92;296.354,00;1,46;;;158.988.425,08;8.269,00;Ativa;
OUJP11;95,40;8,45;0,93;866.778,00;23,82;-8,24;-1,52;335.047.577,06;20.707,00;Ativa;
OULG11;67,95;10,01;0,73;180.316,30;6,15;;;232.053.394,57;6.677,00;Ativa;
PATL11;82,00;6,77;0,85;1.594.180,96;2,50;;;480.384.513,48;12.904,00;Ativa;
PEMA11;92,00;4,17;0,91;393,80;3,12;;;56.106.293,35;66,00;Ativa;
PLOG11;89,21;2,32;0,94;117.123,56;4,66;;;71.398.808,69;1.631,00;Ativa;
PQAG11;61,00;13,29;1,12;11.982,80;4,35;;;761.036.339,46;385,00;Ativa;
PRZS11;0,00;0,00;;;1,18;;;56.015.108,28;2,00;Ativa;
PNDL11;0,00;0,00;;;75,95;;;9.766.681,25;46,00;Ativa;
PNPR11;0,00;0,00;;;11,01;;;57.144.254,28;13,00;Ativa;
PORD11;98,50;10,45;0,97;638.962,67;13,21;;0,51;199.977.610,24;8.850,00;Ativa;
PQDP11;2.324,12;3,24;0,64;427.231,07;0,77;-12,97;-8,66;867.195.308,31;4.170,00;Passiva;
RBGS11;36,50;3,82;0,40;25.603,30;0,37;15,02;-7,85;97.817.118,87;2.959,00;Passiva;
RBHY11;102,55;5,29;1,01;114.396,44;10,25;;;61.072.405,02;216,00;Ativa;
RBIR11;75,00;0,00;0,78;69.050,73;57,96;;;147.816.452,31;1.197,00;Ativa;
RBLG11;99,00;2,13;0,87;652,50;1,86;;;73.013.549,43;64,00;Ativa;
RBRM11;94.794,81;68,79;0,58;;0,17;;;88.189.591,65;54,00;Ativa;
RBRR11;99,56;7,13;1,00;2.460.929,85;4,47;-3,04;2,12;760.100.875,11;70.464,00;Ativa;
RBRS11;73,90;4,36;0,77;36.627,19;25,88;;;100.701.755,51;1.153,00;Ativa;
RBRY11;100,75;8,35;0,98;619.124,30;17,51;;;349.785.652,72;8.933,00;Ativa;
RCRB11;144,00;6,81;0,73;702.016,67;2,01;13,12;-1,89;724.878.219,59;29.434,00;Ativa;
RCRI11B;1.200,00;3,83;1,16;1.200,00;2,49;;;52.690.426,09;148,00;Ativa;
RECX11;99,75;1,80;1,09;6.343,22;0,46;;;18.144.483,26;348,00;Ativa;
REIT11;1.140,00;6,72;0,90;1.710,00;36,73;;;33.437.373,48;60,00;Ativa;
RELG11;91,37;5,85;0,95;172.205,26;28,17;;;123.734.508,39;3.661,00;Ativa;
SBCL11;0,00;0,00;;;135,05;;;35.270.176,12;1,00;Ativa;
SJAU11;116,74;0,00;1,17;36.994.741,67;0,58;;;792.986.642,01;115,00;Passiva;
SOLR11;1.220,00;0,00;1,18;1.220,00;2,90;;;65.018.883,98;32,00;Ativa;
SEQR11;84,99;3,97;0,80;217.935,41;4,18;;;156.776.100,90;1.283,00;Ativa;
SHDP11B;0,00;0,00;;;0,14;-14,09;;2.141.110.424,01;3,00;Passiva;
SNFF11;99,80;0,12;1,03;1.846.279,48;45,24;;;243.372.074,74;23.884,00;Ativa;
TORD11;10,03;13,19;0,94;1.438.181,85;28,06;;;285.831.314,30;62.700,00;Ativa;
TRNT11;143,70;3,80;0,69;17.703,63;0,48;-8,51;-9,68;815.933.561,16;712,00;Passiva;
URPR11;130,00;18,81;1,30;1.740.023,33;8,93;;;165.905.711,66;9.096,00;Ativa;
VTPA11;0,00;0,00;;;2,56;;;73.543.280,17;1,00;Ativa;
ZIFI11;0,00;0,00;;;9,89;;;20.651.943,31;16,00;Ativa;
IBCR11;0,00;0,00;;;68,91;;;55.724.682,77;246,00;Ativa;
EGYR11;0,00;0,00;;;0,00;;;93.197.880,67;1,00;Passiva;
MOFF11;0,00;0,00;;;0,43;;;190.843.005,40;2,00;Ativa;
TSER11;0,00;0,00;;;11,31;;;119.913.352,77;11,00;Ativa;
ALZR11;119,77;5,28;1,17;1.898.291,63;1,20;-6,81;8,06;459.134.472,74;89.125,00;Ativa;
ANCR11B;3.400,00;1,10;1,02;3.400,00;0,90;;19,35;1.502.356.203,17;55,00;Ativa;
AQLL11;385,03;0,00;0,26;641,83;0,00;;;145.505.513,48;37,00;Ativa;
BBFO11;76,60;3,79;0,82;131.012,33;1,14;;;372.529.804,81;3.798,00;Passiva;
BRHT11B;86,80;0,00;1,05;;0,92;;;151.899.420,19;11,00;--;
BRIP11;1.099,00;0,00;1,11;212.484,00;24,86;;;107.371.367,02;236,00;Ativa;
BRLA11;0,00;0,00;;;0,83;;;122.570.696,66;84,00;Ativa;
BBPO11;113,92;11,38;1,13;1.968.940,33;4,73;1,89;-3,42;1.598.863.562,90;65.740,00;Passiva;
BCFF11;79,01;7,64;0,94;5.931.118,48;13,49;-1,91;-0,08;2.119.406.011,49;282.484,00;Ativa;
BCIA11;91,20;8,62;0,83;724.020,22;0,87;-4,41;-5,48;408.983.773,55;13.361,00;Ativa;
CEOC11;68,50;7,98;0,79;81.430,63;2,06;-6,05;-6,72;157.128.089,83;6.890,00;Passiva;
CJCT11;60,03;0,00;0,89;440.197,88;0,98;;6,99;182.515.132,29;1.581,00;Passiva;
CJFI11;0,00;0,00;;;0,41;;;97.958.029,90;1,00;Ativa;
AFOF11;139,97;0,00;1,31;37.435,54;10,65;;;39.305.966,92;92,00;Ativa;
CVBI11;104,93;11,85;1,05;3.611.297,74;1,71;;;597.925.064,54;32.157,00;Ativa;
CXCE11B;88,11;12,21;1,09;57.948,96;5,78;5,34;-0,71;138.915.815,67;2.930,00;Passiva;
DLMT11;0,00;0,00;;;0,39;;;13.676.994,84;9,00;Ativa;
BLMR11;82,00;3,60;0,88;1.172.119,04;4,43;;;238.604.064,47;3.738,00;Ativa;
BPFF11;76,40;8,49;0,92;896.272,74;7,34;-5,21;-6,38;371.794.835,59;19.603,00;Ativa;
BPML11;86,39;0,93;0,64;117.111,44;6,30;;;584.587.292,43;1.172,00;Ativa;
BRCO11;104,68;6,26;0,97;5.052.016,30;2,70;;;1.602.955.497,24;32.249,00;Ativa;
DVFF11;0,00;0,00;;;13,26;;;53.683.026,04;155,00;Ativa;
ATWN11;0,00;0,00;;;0,64;;;93.141.887,46;2,00;Passiva;
CPTS11;100,57;10,91;1,06;10.044.370,41;12,00;5,47;0,53;2.033.959.001,79;92.583,00;Ativa;
ELDO11B;762,38;5,83;0,62;;0,14;-14,57;;973.512.484,69;61,00;Passiva;
ERCR11;79.700,05;4,26;0,91;5.740.179,25;0,06;;;208.463.120,62;14,00;Passiva;
FAED11;147,84;10,02;0,69;115.378,96;1,50;-6,61;-9,36;137.364.240,49;5.135,00;Passiva;
FAMB11B;1.189,91;7,27;0,34;83.911,59;8,47;-9,82;-27,48;365.096.455,45;3.669,00;Passiva;
FATN11;97,51;6,45;0,97;16.813,16;10,72;;;65.452.316,84;219,00;Ativa;
FCFL11;104,68;6,63;1,03;375.122,85;0,53;0,57;1,29;352.396.190,17;4.492,00;Passiva;
FEXC11;89,75;8,93;0,97;1.086.296,41;46,95;-5,63;-5,93;564.889.746,62;17.504,00;Ativa;
FIGS11;62,00;3,58;0,66;345.872,93;4,65;-38,55;-3,41;269.145.540,06;17.985,00;Passiva;
FIIB11;472,00;7,17;1,07;562.397,96;1,37;2,13;6,21;302.833.973,76;17.975,00;Passiva;
HBTT11;1.055,00;3,66;;37.746,53;;;;0,00;0,00;Ativa;
HCST11;96,00;0,00;0,90;2.380,08;33,98;;;30.461.843,17;84,00;Ativa;
HCTR11;134,54;18,37;1,15;11.622.661,22;25,85;;;1.194.309.373,39;96.170,00;Ativa;
LSPA11;0,00;0,00;;;1,44;;;40.261.881,50;220,00;Ativa;
AIEC11;79,78;6,38;0,80;694.858,19;4,58;;;483.257.233,98;3.033,00;Ativa;
